Municipio,Codigo,Año,Total suscriptores urbanos,Suscriptores  urbano estrato 01,Suscriptores  urbano estrato 02,Suscriptores urbano estrato 03,Suscriptores urbano estrato 04,Suscriptores  urbano estrato 05,Suscriptores urbano estrato 06,Suscriptores urbano industrial,Suscriptores urbano  comercial,Suscriptores urbano oficial,Suscriptores urbano alumbrado publico,Consumo promedio urbano estrato 01,Consumo promedio urbano estrato 02,Consumo promedio urbano estrato 03,Consumo promedio urbano estrato 04,Consumo promedio urbano estrato 05,Consumo promedio urbano estrato 06,Consumo promedio urbano industrial,Consumo promedio urbano comercial,Consumo promedio urbano oficial,Consumo promedio urbano alumbrado publico,Consumo total urbano estrato 01,Consumo total urbano estrato 02,Consumo total urbano estrato 03,Consumo total urbano estrato 04,Consumo total urbano estrato 05,Consumo total urbano estrato 06,Consumo total urbano industrial,Consumo total urbano comercial,Consumo total urbano oficial,Consumo total urbano alumbrado publico,# Suscriptores rurales,Suscriptores rural estrato 01,Suscriptores  rural estrato 02,Suscriptores  rural estrato 03,Suscriptores rural estrato 04,Suscriptores rural estrato 05,Suscriptores rural estrato 06,Suscriptores rural industrial,Suscriptores rural comercial,Suscriptores rural oficial,Suscriptores rural alumbrado publico,Consumo promedio rural estrato 01,Consumo promedio rural estrato 02,Consumo promedio rural estrato 03,Consumo promedio rural estrato 04,Consumo promedio rural estrato 05,Consumo promedio rural estrato 06,Consumo promedio rural industrial,Consumo promedio rural comercial,Consumo promedio rural oficial,Consumo promedio rural alumbrado publico,Consumo total rural estrato 01,Consumo total rural estrato 02,Consumo total rural estrato 03,Consumo total rural estrato 04,Consumo total rural estrato 05,Consumo total rural estrato 06,Consumo total rural industrial,Consumo total rural comercial,Consumo total rural oficial,Consumo total rural alumbrado publico,Porcentaje cobertuta municipio
La Sierra,19392,2015,624,557,23,1,0,0,0,1,28,11,3,727.1741472172351,1246.391304347826,0,1488,0,0,39923,4584.25,5241.909090909091,27793.333333333332,405036,28667,0,1488,0,0,39923,128359,57661,83380,2819.0,2623,107,0,0,0,0,18,25,46,0,658.0072436141822,796.2523364485982,0,0,0,0,5006.388888888889,4269.16,796.8913043478261,0,1725953,85199,0,0,0,0,90115,106729,36657,0,0.86
La Sierra,19392,2016,642,516,81,0,1,0,0,1,29,11,3,656.1414728682171,1201.0246913580247,0,1693,0,0,43506,5226.275862068966,5114,28074.666666666668,338569,97283,0,1693,0,0,43506,151562,56254,84224,2817.0,2626,105,0,0,0,0,17,24,45,0,581.0776846915461,754.847619047619,0,0,0,0,9111.941176470587,3850.5,733.2444444444444,0,1525910,79259,0,0,0,0,154903,92412,32996,0,0.865
La Sierra,19392,2017,663,532,82,0,1,0,0,1,33,11,3,659.6372180451128,1166.939024390244,0,1200,0,0,51035,4951.090909090909,5350.636363636364,31002.333333333332,350927,95689,0,1200,0,0,51035,163386,58857,93007,2841.0,2654,102,0,0,0,0,17,23,45,0,716.1356443104747,871.2843137254902,0,0,0,0,4874.823529411765,3179.521739130435,744.6666666666666,0,1900624,88871,0,0,0,0,82872,73129,33510,0,0.87
La Vega,19397,2012,444,350,43,0,0,0,0,6,18,11,16,1700.5885714285714,817.5348837209302,0,0,0,0,5945.5,3506.8333333333335,7544.545454545455,18127,595206,35154,0,0,0,0,35673,63123,82990,290032,5367.0,5138,110,0,0,0,0,8,7,104,0,351.07279096924873,391.8090909090909,0,0,0,0,2935.375,500.2307692307692,1057.7115384615386,0,1803812,43099,0,0,0,0,23483,6503,110002,0,0.0
La Vega,19397,2013,449,358,43,0,0,0,0,5,18,11,14,1095.5279329608938,894.3720930232558,0,0,0,0,7303.2,4039.3333333333335,5285.636363636364,23460.071428571428,392199,38458,0,0,0,0,36516,72708,58142,328441,5561.0,5319,110,0,0,0,0,7,15,110,0,531.5965407031397,624.5363636363636,0,0,0,0,1953.42857142857,493.46666666666664,1251.509090909091,0,2827562,68699,0,0,0,0,13674,7402,137666,0,0.82
La Vega,19397,2014,456,364,43,0,0,0,0,5,19,11,14,913.7527472527472,803.2790697674419,0,0,0,0,6574.4,3556.7368421052633,5284.181818181818,23139.285714285714,332606,34541,0,0,0,0,32872,67578,58126,323950,5811.0,5580,110,0,0,0,0,7,15,99,0,553.3532258064516,617.7454545454545,0,0,0,0,2221.1428571428573,461.93333333333334,1048.949494949495,0,3087711,67952,0,0,0,0,15548,6929,103846,0,0.84
La Vega,19397,2015,463,370,43,0,0,0,0,5,19,12,14,1024.164864864865,984.5813953488372,0,0,0,0,6592.4,3562.5263157894738,5458.166666666667,23096.64285714286,378941,42337,0,0,0,0,32962,67688,65498,323353,5996.0,5766,107,0,0,0,0,8,16,99,0,620.6555671175859,683.4766355140187,0,0,0,0,2403.375,378.8125,1062.8484848484848,0,3578700,73132,0,0,0,0,19227,6061,105222,0,0.86
La Vega,19397,2016,468,376,44,0,0,0,0,3,18,13,14,1111.401595744681,1023.0909090909091,0,0,0,0,6545.6,4189.444444444444,5820.461538461538,23330.714285714286,417887,45016,0,0,0,0,32728,75410,75666,326630,6080.0,5853,106,0,0,0,0,6,16,99,0,609.2282590124722,680.9811320754717,0,0,0,0,3634.5,400.3125,1038.8484848484848,0,3565813,72184,0,0,0,0,21807,6405,102846,0,0.88
La Vega,19397,2017,474,381,44,0,0,0,0,4,18,13,14,919.7007874015748,869.3409090909091,0,0,0,0,9222,4121.222222222223,5776.307692307692,20758.14285714286,350406,38251,0,0,0,0,36888,74182,75092,290614,6172.0,5946,106,0,0,0,0,7,19,94,0,682.6945845946855,741.9716981132076,0,0,0,0,2866.5714285714284,372.5263157894737,981.5425531914893,0,4059302,78649,0,0,0,0,20066,7078,92265,0,0.89
Lopez de Micay,19418,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
